"name","rarity"
"This item commemorates the 2018 FACEIT London CS:GO Championship.",6
"Golden (Maikil Selim)",0
"autimatic (Timothy Ta)",0
"RUSH (William Wierzba)",0
"STYKO (Martin Styk)",0
"Skadoodle (Tyler Latham)",0
"GuardiaN (Ladislav Kovács)",0
"olofmeister (Olof Kajbjer)",0
"karrigan (Finn Andersen)",0
"rain (Håvard Nygaard)",0
"NiKo (Nikola Kovač)",0
"electronic (Denis Sharipov)",0
"Zeus (Danylo Teslenko)",0
"s1mple (Oleksandr Kostyliev)",0
"Edward (Ioann Sukhariev)",0
"flamie (Egor Vasilyev)",0
"coldzera (Marcelo David)",0
"FalleN (Gabriel Toledo)",0
"tarik (Tarik Celik)",0
"Stewie2K (Jacky Yip)",0
"fer (Fernando Alvarenga)",0
"Snax (Janusz Pogorzelski)",0
"chrisJ (Chris de Jong)",0
"ropz (Robin Kool)",0
"suNny (Miikka Kemppi)",0
"oskar (Tomas Stastny)",0
"jmqa (Savelii Bragin)",0
"Kvik (Aurimas Kvakšys)",0
"balblna (Grigorii Oleinik)",0
"waterfaLLZ (Nikita Matveev)",0
"Boombl4 (Kirill Mikhailov)",0
"kennyS (Kenny Schrub)",0
"bodyy (Alexandre Pianaro)",0
"shox (Richard Papillon)",0
"Ex6TenZ (Kévin Droolans)",0
"SmithZz (Edouard Dubourdeaux)",0
"draken (William Sundin)",0
"JW (Jesper Wecksell)",0
"KRIMZ (Lars Freddy Johansson)",0
"flusha (Robin Rönnquist)",0
"Xizt (Richard Landström)",0
