"name","rarity"
"This item commemorates the 2018 FACEIT London CS:GO Championship.",6
"Ninjas in Pyjamas (Holo) | London 2018",3
"compLexity Gaming (Holo) | London 2018",3
"HellRaisers (Holo) | London 2018",3
"Renegades (Holo) | London 2018",3
"OpTic Gaming (Holo) | London 2018",3
"Rogue (Holo) | London 2018",3
"Team Spirit (Holo) | London 2018",3
"Tyloo (Holo) | London 2018",3
"FACEIT (Holo) | London 2018",3
"Ninjas in Pyjamas (Foil) | London 2018",4
"compLexity Gaming (Foil) | London 2018",4
"HellRaisers (Foil) | London 2018",4
"Renegades (Foil) | London 2018",4
"OpTic Gaming (Foil) | London 2018",4
"Rogue (Foil) | London 2018",4
"Team Spirit (Foil) | London 2018",4
"Tyloo (Foil) | London 2018",4
"FACEIT (Foil) | London 2018",4
