"name","rarity"
"This item commemorates the 2018 FACEIT London CS:GO Championship.",6
"GeT_RiGhT (Christopher Alesund)",0
"f0rest (Patrik Lindberg)",0
"Lekr0 (Jonas Olofsson)",0
"REZ (Fredrik Sterner)",0
"dennis (Dennis Edman)",0
"ANDROID (Bradley Fodor)",0
"stanislaw (Peter Jarguz)",0
"dephh (Rory Jackson)",0
"yay (Jaccob Whiteaker)",0
"ShahZaM (Shahzeeb Khan)",0
"woxic (Özgür Eker)",0
"ISSAA (Issa Murad)",0
"bondik (Vladyslav Nechyporchuk)",0
"ANGE1 (Kyrylo Karasov)",0
"DeadFox (Bence Borocz)",0
"Nifty (Noah Francis)",0
"jkaem (Joakim Myrbostad)",0
"jks (Justin Savage)",0
"USTILO (Karlo Pivac)",0
"AZR (Aaron Ward)",0
"cajunb (René Borg)",0
"k0nfig (Kristian Wienecke)",0
"gade (Nicklas Gade)",0
"Snappi (Marco Pfeiffer)",0
"JUGi (Jakob Hansen)",0
"SicK (Hunter Mims)",0
"Hiko (Spencer Martin)",0
"Rickeh (Ricardo Mulholland)",0
"cadiaN (Casper Møller)",0
"vice (Daniel Kim)",0
"COLDYY1 (Pavlo Veklenko)",0
"Dima (Dmitriy Bandurka)",0
"sdy (Viktor Orudzhev)",0
"S0tF1k (Dmitrii Forostianko)",0
"DavCost (Vadim Vasilyev)",0
"somebody (Haowen Xu)",0
"captainMo (Ke Liu)",0
"BnTeT (Hansel Ferdinand)",0
"DD (Hui Wu)",0
"xccurate (Kevin  Susanto)",0
