"name","rarity"
"This item commemorates the 2018 FACEIT London CS:GO Championship.",6
"Gambit Esports (Holo) | London 2018",3
"Vega Squadron (Holo) | London 2018",3
"Space Soldiers (Holo) | London 2018",3
"BIG (Holo) | London 2018",3
"Astralis (Holo) | London 2018",3
"Team Liquid (Holo) | London 2018",3
"North (Holo) | London 2018",3
"Virtus.Pro (Holo) | London 2018",3
"FACEIT (Holo) | London 2018",3
"Gambit Esports (Foil) | London 2018",4
"Vega Squadron (Foil) | London 2018",4
"Space Soldiers (Foil) | London 2018",4
"BIG (Foil) | London 2018",4
"Astralis (Foil) | London 2018",4
"Team Liquid (Foil) | London 2018",4
"North (Foil) | London 2018",4
"Virtus.Pro (Foil) | London 2018",4
"FACEIT (Foil) | London 2018",4
