"name","rarity"
"This item commemorates the 2018 FACEIT London CS:GO Championship.",6
"mir (Nikolai Bitiukov)",0
"Dosia (Mikhail Stoliarov)",0
"Hobbit (Abay Khassenov)",0
"mou (Rustem Telepov)",0
"AdreN (Dauren Kystaubayev)",0
"tonyblack (Anton Kolesnikov)",0
"crush (Ihor Shevchenko)",0
"hutji (Pavel Lashkov)",0
"jR (Dmytro Chervak)",0
"chopper (Leonid Vishnyakov)",0
"XANTARES (Can Dortkardes)",0
"Calyx (Bugra Arkın)",0
"paz (Ahmet Karahoca)",0
"ngiN (Engin Kor)",0
"MAJ3R (Engin Kupeli)",0
"tiziaN (Tizian Feldbusch)",0
"gob b (Fatih Dayik)",0
"tabseN (Johannes Wodarz)",0
"nex (Johannes Maget)",0
"smooya (Owen Butterfield)",0
"dupreeh (Peter Rasmussen)",0
"gla1ve (Lukas Rossander)",0
"device (Nicolai Reedtz)",0
"Magisk (Emil Hoffmann Reif)",0
"Xyp9x (Andreas Højsleth)",0
"EliGE (Jonathan Jablonowski)",0
"TACO (Tacio Filho)",0
"Twistzz (Russel Van Dulken)",0
"NAF (Keith Markovic)",0
"nitr0 (Nicholas Cannella)",0
"MSL (Mathias Sommer Lauridsen)",0
"niko (Nikolaj Kristensen)",0
"Kjaerbye (Markus Kjærbye)",0
"aizy (Philip Aistrup Larsen)",0
"v4lde (Valdemar Bjørn Vangså)",0
"byali (Pawel Bielinsky)",0
"pashaBiceps (Jarosław Jarząbkowski)",0
"NEO (Filip Kubski)",0
"MICHU (Michal Muller)",0
"snatchie (Michał Rudzki)",0
