"name","rarity"
"This item commemorates the 2016 MLG Columbus CS:GO Championship.",6
"Splyce (Holo) | MLG Columbus 2016",3
"Counter Logic Gaming (Holo) | MLG Columbus 2016",3
"Gambit Gaming (Holo) | MLG Columbus 2016",3
"Flipsid3 Tactics (Holo) | MLG Columbus 2016",3
"Team Liquid (Holo) | MLG Columbus 2016",3
"mousesports (Holo) | MLG Columbus 2016",3
"Cloud9 (Holo) | MLG Columbus 2016",3
"G2 Esports (Holo) | MLG Columbus 2016",3
"MLG (Holo) | MLG Columbus 2016",3
"Splyce (Foil) | MLG Columbus 2016",4
"Counter Logic Gaming (Foil) | MLG Columbus 2016",4
"Gambit Gaming (Foil) | MLG Columbus 2016",4
"Flipsid3 Tactics (Foil) | MLG Columbus 2016",4
"Team Liquid (Foil) | MLG Columbus 2016",4
"mousesports (Foil) | MLG Columbus 2016",4
"Cloud9 (Foil) | MLG Columbus 2016",4
"G2 Esports (Foil) | MLG Columbus 2016",4
"MLG (Foil) | MLG Columbus 2016",4
