"name","rarity"
"This item commemorates the 2016 MLG Columbus CS:GO Championship.",6
"Ninjas in Pyjamas (Holo) | MLG Columbus 2016",3
"Natus Vincere (Holo) | MLG Columbus 2016",3
"Virtus.Pro (Holo) | MLG Columbus 2016",3
"FaZe Clan (Holo) | MLG Columbus 2016",3
"Astralis (Holo) | MLG Columbus 2016",3
"Team EnVyUs (Holo) | MLG Columbus 2016",3
"Fnatic (Holo) | MLG Columbus 2016",3
"Luminosity Gaming (Holo) | MLG Columbus 2016",3
"MLG (Holo) | MLG Columbus 2016",3
"Ninjas in Pyjamas (Foil) | MLG Columbus 2016",4
"Natus Vincere (Foil) | MLG Columbus 2016",4
"Virtus.Pro (Foil) | MLG Columbus 2016",4
"FaZe Clan (Foil) | MLG Columbus 2016",4
"Astralis (Foil) | MLG Columbus 2016",4
"Team EnVyUs (Foil) | MLG Columbus 2016",4
"Fnatic (Foil) | MLG Columbus 2016",4
"Luminosity Gaming (Foil) | MLG Columbus 2016",4
"MLG (Foil) | MLG Columbus 2016",4
