"name","rarity"
"This item commemorates the BLAST.tv Paris 2023 CS:GO Championship.",6
"Aleksib (Aleksi Virolainen)",0
"Brollan (Ludvig Brolin)",0
"headtr1ck (Daniil Valitov)",0
"k0nfig (Kristian Wienecke)",0
"REZ (Fredrik Sterner)",0
"HooXi (Rasmus Nielsen)",0
"huNter- (Nemanja Kovac)",0
"jks (Justin Savage)",0
"m0NESY (Ilia Osipov)",0
"NiKo (Nikola Kovač)",0
"Jerry (Andrey  Mekrhyakov)",0
"Krad (Vladislav Kravchenko)",0
"r3salt (Evgenii Frolov)",0
"shalfey (Aleksandr Marenov)",0
"zorte (Aleksandr Zagodyrenko)",0
"degster (Abdulkhalik Gasanov)",0
"F1KU (Maciej Miklas)",0
"FlameZ (Shahar Hai Shoshan)",0
"NEOFRAG (Adam Zouhar)",0
"niko (Nikolaj Kristensen)",0
"biguzera (Rodrigo Bittencourt)",0
"hardzao (Wesley Lopes)",0
"NEKiZ (Gabriel Schenato)",0
"skullz (Felipe Frank Medeiros)",0
"zevy (Romeu Rocco)",0
"acoR (Frederik Gyldstrand)",0
"iM (Mihai Ivan)",0
"isak (Isak Fahlén)",0
"Keoz (Nicolas Dgus)",0
"siuhy (Kamil Szkaradek)",0
"jkaem (Joakim Myrbostad)",0
"jL (Justinas Lekavicius)",0
"kyxsan (Damjan Stoilkovski)",0
"nawwk (Tim Carl Jonasson)",0
"STYKO (Martin Styk)",0
"BOROS (Mohammad Malhas)",0
"DemQQ (Serhii Demchenko)",0
"kRaSnaL (Szymon Mrozek)",0
"sdy (Viktor Orudzhev)",0
"Woro2k (Volodymyr Veletniuk)",0
