"name","rarity"
"This item commemorates the BLAST.tv Paris 2023 CS:GO Championship.",6
"FASHR (Dion Derksen)",0
"KRIMZ (Lars Freddy Johansson)",0
"mezii (William Cameron Merriman)",0
"nicoodoz (Nico Tamjidi)",0
"roeJ (Fredrik Jørgensen)",0
"b1t (Valerii Vakhovskyi)",0
"electronic (Denis Sharipov)",0
"npl (Andrii Kukharskyi)",0
"Perfecto (Ilya Zalutskiy)",0
"s1mple (Oleksandr Kostyliev)",0
"arT (Andrei Piovezan)",0
"drop (André Wagner de Abreu)",0
"KSCERATO (Kaike Cerato)",0
"saffee (Rafael Costa)",0
"yuurih (Yuri Boian)",0
"apEX (Dan Madesclaire)",0
"dupreeh (Peter Rasmussen)",0
"Magisk (Emil Hoffmann Reif)",0
"Spinx (Lotan Giladi)",0
"ZywOo (Mathieu Herbaut)",0
"cadiaN (Casper Møller)",0
"jabbi (Jakob Nygaard)",0
"sjuush (Rasmus Beck)",0
"stavn (Martin Lund)",0
"TeSeS (René Stensig Madsen)",0
"gxx- (Genc Kolgeci)",0
"juanflatroo (Flatron Halimi)",0
"rigoN (Rigon Gashi)",0
"SENER1 (Sener Mahmuti)",0
"sinnopsyy (Dionis Budeci)",0
"CRUC1AL (Joey Steusel)",0
"Cypher (Cai Ashley Watson)",0
"rallen (Karol Rodowicz)",0
"Thomas (Thomas Jack Utting)",0
"volt (Sebastian Constantin Malos)",0
"Goofy (Krzysztof Górski)",0
"hades (Aleksander Miskiewicz)",0
"KEi (Kamil Dariusz Pietkun)",0
"Kylar (Kacper Walukiewicz)",0
"mynio (Wiktor Józef Kruk)",0
