"name","rarity"
"Poorly Drawn Ava",2
"Poorly Drawn Balkan",2
"Poorly Drawn Bloody Darryl",2
"Poorly Drawn Chicken",2
"Poorly Drawn FBI",2
"Poorly Drawn IDF",2
"Poorly Drawn Leet Crew",2
"Poorly Drawn Number K",2
"Poorly Drawn SAS",2
"Poorly Drawn Terrorist",2
"Poorly Drawn Ava (Holo)",3
"Poorly Drawn Balkan (Holo)",3
"Poorly Drawn Bloody Darryl (Holo)",3
"Poorly Drawn Chicken (Holo)",3
"Poorly Drawn FBI (Holo)",3
"Poorly Drawn IDF (Holo)",3
"Poorly Drawn Leet Crew (Holo)",3
"Poorly Drawn Number K (Holo)",3
"Poorly Drawn SAS (Holo)",3
"Poorly Drawn Terrorist (Holo)",3
