"name","rarity"
"This item commemorates the IEM Rio 2022 CS:GO Championship.",6
"NQZ (Lucas Soares Assumpção E Silva)",0
"dav1d (David Maldonado)",0
"max (Maximiliano González)",0
"dgt (Franco Cabrera)",0
"BUDA (Nicolás Kramer)",0
"gxx- (Genc Kolgeci)",0
"SENER1 (Sener Mahmuti)",0
"juanflatroo (Flatron Halimi)",0
"rigoN (Rigon Gashi)",0
"sinnopsyy (Dionis Budeci)",0
"faveN (Josef Baumann)",0
"Krimbo (Karim Moussa)",0
"k1to (Nils Gruhne)",0
"tabseN (Johannes Wodarz)",0
"syrsoN (Florian Rische)",0
"sh1ro (Dmitrii Sokolov)",0
"nafany (Vladislav Gorshkov)",0
"Ax1Le (Sergei Rykhtorov)",0
"interz (Iakushin Timofei)",0
"Hobbit (Abay Khassenov)",0
"autimatic (Timothy Ta)",0
"neaLaN (Sanzhar Iskhakov)",0
"Brehze (Vincent Cayonte)",0
"HexT (Jadan Postma)",0
"CeRq (Tsvetelin Dimitrov)",0
"frozen (David Cernansky)",0
"dexter (Christopher Nong)",0
"JDC (Jon Apostolos De Castro)",0
"torzsi (Ádám Torzsás)",0
"xertioN (Dorian Berman)",0
"nexa (Nemanja Isakovic)",0
"NEOFRAG (Adam Zouhar)",0
"FlameZ (Shahar Hai Shoshan)",0
"degster (Abdulkhalik Gasanov)",0
"F1KU (Maciej Miklas)",0
"dupreeh (Peter Rasmussen)",0
"Magisk (Emil Hoffmann Reif)",0
"apEX (Dan Madesclaire)",0
"Spinx (Lotan Giladi)",0
"ZywOo (Mathieu Herbaut)",0
