"name","rarity"
"This item commemorates the IEM Rio 2022 CS:GO Championship.",6
"TACO (Tacio Filho)",0
"coldzera (Marcelo David)",0
"TRY (Santino Rigal)",0
"latto (Bruno Rebelatto)",0
"dumau (Eduardo Wolkmer)",0
"KRIMZ (Lars Freddy Johansson)",0
"mezii (William Cameron Merriman)",0
"FASHR (Dion Derksen)",0
"roeJ (Fredrik Jørgensen)",0
"nicoodoz (Nico Tamjidi)",0
"KSCERATO (Kaike Cerato)",0
"yuurih (Yuri Boian)",0
"drop (André Wagner de Abreu)",0
"saffee (Rafael Costa)",0
"arT (Andrei Piovezan)",0
"acoR (Frederik Gyldstrand)",0
"iM (Mihai Ivan)",0
"siuhy (Kamil Szkaradek)",0
"Keoz (Nicolas Dgus)",0
"isak (Isak Fahlén)",0
"INS (Joshua Potter)",0
"vexite (Declan Portelli)",0
"Sico (Simon Williams)",0
"Liazz (John Tregillgas)",0
"aliStair (Alistair Johnston)",0
"sk0R (Tengis Batjargal)",0
"Techno4K (Munkhbold Sodbayar)",0
"kabal (Batbayar Bat-Enkh)",0
"bLitz (Garidmagnai Byambasuren)",0
"ANNIHILATION (Tuvshintugs Nyamdorj)",0
"FalleN (Gabriel Toledo)",0
"fer (Fernando Alvarenga)",0
"boltz (Ricardo Prass)",0
"VINI (Vinicius Figueiredo)",0
"chelo (Marcelo Cespedes)",0
"FL1T (Evgenii Lebedev)",0
"n0rb3r7 (David Danielyan)",0
"Jame (Ali Dzhami)",0
"qikert (Alexey Golubev)",0
"fame (Petr Bolyshev)",0
