"name","rarity"
"This item commemorates the IEM Rio 2022 CS:GO Championship.",6
"Snappi (Marco Pfeiffer)",0
"Dycha (Paweł Dycha)",0
"maden (Pavle Bošković)",0
"v4lde (Valdemar Bjørn Vangså)",0
"SunPayus (Alvaro Garcia)",0
"karrigan (Finn Andersen)",0
"rain (Håvard Nygaard)",0
"Twistzz (Russel Van Dulken)",0
"ropz (Robin Kool)",0
"broky (Helvijs Saukants)",0
"cadiaN (Casper Møller)",0
"TeSeS (René Stensig Madsen)",0
"sjuush (Rasmus Beck)",0
"jabbi (Jakob Nygaard)",0
"stavn (Martin Lund)",0
"b1t (Valerii Vakhovskyi)",0
"electronic (Denis Sharipov)",0
"sdy (Viktor Orudzhev)",0
"Perfecto (Ilya Zalutskiy)",0
"s1mple (Oleksandr Kostyliev)",0
"es3tag (Patrick Hansen)",0
"Aleksib (Aleksi Virolainen)",0
"REZ (Fredrik Sterner)",0
"hampus (Hampus Poser)",0
"Brollan (Ludvig Brolin)",0
"slaxz- (Fritz Dietrich)",0
"lauNX (Laurentiu Iulian Tarlea)",0
"refrezh (Ismail Ali)",0
"Staehr (Victor Hansen)",0
"Zyphon (Rasmus Nordfoss)",0
"YEKINDAR (Mareks Galinskis)",0
"oSee (Josh Ohm)",0
"nitr0 (Nicholas Cannella)",0
"NAF (Keith Markovic)",0
"EliGE (Jonathan Jablonowski)",0
"chopper (Leonid Vishnyakov)",0
"magixx (Borislav Vorobev)",0
"Patsi (Robert Isianov)",0
"S1ren (Pavel Ogloblin)",0
"w0nderful (Ihor Zhdanov)",0
