"name","rarity"
"This item commemorates the Perfect World Shanghai 2024 CS2 Major Championship.",6
"FalleN (Gabriel Toledo)",0
"chelo (Marcelo Cespedes)",0
"yuurih (Yuri Boian)",0
"KSCERATO (Kaike Cerato)",0
"skullz (Felipe Frank Medeiros)",0
"FL1T (Evgenii Lebedev)",0
"Jame (Ali Dzhami)",0
"fame (Petr Bolyshev)",0
"n0rb3r7 (David Danielyan)",0
"electronic (Denis Sharipov)",0
"Twistzz (Russel Van Dulken)",0
"ultimate (Roland Tomkowiak)",0
"YEKINDAR (Mareks Galinskis)",0
"jks (Justin Savage)",0
"NAF (Keith Markovic)",0
"EliGE (Jonathan Jablonowski)",0
"floppy (Ricky Kemery)",0
"Grim (Michael Wince)",0
"hallzerk (Haakon Fjaerli)",0
"JT (Ioannis Theodosiou)",0
"tabseN (Johannes Wodarz)",0
"Krimbo (Karim Moussa)",0
"JDC (Jon Apostolos De Castro)",0
"syrsoN (Florian Rische)",0
"rigoN (Rigon Gashi)",0
"KRIMZ (Lars Freddy Johansson)",0
"bodyy (Alexandre Pianaro)",0
"MATYS (Matúš Šimko)",0
"blameF (Benjamin Vang Bremer)",0
"afro (Aurélien Paul Ibane Drapier)",0
"bLitz (Garidmagnai Byambasuren)",0
"910 (Usukhbayar Banzragch)",0
"Techno4K (Munkhbold Sodbayar)",0
"Senzu (Azbayar Munkhbold)",0
"mzinho (Ayush Batbold)",0
"biguzera (Rodrigo Bittencourt)",0
"lux (Lucas Meneghini)",0
"kauez (Kaue Kaschuk)",0
"NQZ (Lucas Soares Assumpção E Silva)",0
"snow (João Vinicius Bueno Filho)",0
