"name","rarity"
"This item commemorates the Perfect World Shanghai 2024 CS2 Major Championship.",6
"ztr (Erik Gustafsson)",0
"sl3nd (Henrich Hevesi)",0
"volt (Sebastian Constantin Malos)",0
"FL4MUS (Timur Marev)",0
"aNdu (Andreas Maasing)",0
"drop (André Wagner de Abreu)",0
"saffee (Rafael Costa)",0
"insani (Felipe Yuji Tasaka Kuratani)",0
"brnz4n (Breno Poletto)",0
"exit (Raphael Lacerda)",0
"Boombl4 (Kirill Mikhailov)",0
"Ax1Le (Sergei Rykhtorov)",0
"Heavygod (Nikita Martynenko)",0
"ICY (Kaisar Faiznurov)",0
"Perfecto (Ilya Zalutskiy)",0
"dexter (Christopher Nong)",0
"Liazz (John Tregillgas)",0
"aliStair (Alistair Johnston)",0
"INS (Joshua Potter)",0
"vexite (Declan Portelli)",0
"fEAR (Rodion Smyk)",0
"jambo (Dmytro Semera)",0
"jackasmo (Nikita Skyba)",0
"s-chilla (Vsevolod Shchurov)",0
"zeRRoFIX (Eduard Petrovskyi)",0
"stanislaw (Peter Jarguz)",0
"Sonic (Aran Groesbeek)",0
"JBa (Joshua John Barutt)",0
"phzy (Nils Love Smidebrant)",0
"susp (Tim Sebastian Ångström)",0
"Summer (Cai Yulun)",0
"ChildKing (Peng Junhao)",0
"somebody (Haowen Xu)",0
"L1haNg (Li Yihang)",0
"Kaze (Khong Weng Keong)",0
"VINI (Vinicius Figueiredo)",0
"felps (Joao Vasconcellos Cabral)",0
"TRY (Santino Rigal)",0
"decenty (Lucas Bacelar)",0
"noway (Kaiky Santos)",0
