"name","rarity"
"This item commemorates the Perfect World Shanghai 2024 CS2 Major Championship.",6
"Snax (Janusz Pogorzelski)",0
"huNter- (Nemanja Kovac)",0
"malbsMd (Mario Alberto Samayoa Diaz)",0
"m0NESY (Ilia Osipov)",0
"NiKo (Nikola Kovač)",0
"w0nderful (Ihor Zhdanov)",0
"Aleksib (Aleksi Virolainen)",0
"jL (Justinas Lekavicius)",0
"b1t (Valerii Vakhovskyi)",0
"iM (Mihai Ivan)",0
"ZywOo (Mathieu Herbaut)",0
"apEX (Dan Madesclaire)",0
"mezii (William Cameron Merriman)",0
"FlameZ (Shahar Hai Shoshan)",0
"Spinx (Lotan Giladi)",0
"chopper (Leonid Vishnyakov)",0
"magixx (Borislav Vorobev)",0
"donk (Danil Kryshkovets)",0
"sh1ro (Dmitrii Sokolov)",0
"zont1x (Myroslav Plakhotia)",0
"torzsi (Ádám Torzsás)",0
"xertioN (Dorian Berman)",0
"Brollan (Ludvig Brolin)",0
"Jimpphat (Jimi Salo)",0
"siuhy (Kamil Szkaradek)",0
"karrigan (Finn Andersen)",0
"rain (Håvard Nygaard)",0
"ropz (Robin Kool)",0
"broky (Helvijs Saukants)",0
"frozen (David Cernansky)",0
"TeSeS (René Stensig Madsen)",0
"sjuush (Rasmus Beck)",0
"kyxsan (Damjan Stoilkovski)",0
"NertZ (Guy Iluz)",0
"degster (Abdulkhalik Gasanov)",0
"Ex3rcice (Pierre Bulinge)",0
"Djoko (Thomas Pavoni)",0
"Maka (Bryan Canda)",0
"Lucky (Lucas Chastang)",0
"Graviti (Filip Brankovic)",0
