"name","rarity"
"This item commemorates the Perfect World Shanghai 2024 CS2 Major Championship.",6
"It was dropped during the Challengers Stage match between FURIA and BIG.",6
"P250 | Drought",0
"PP-Bizon | Anolis",0
"MAG-7 | Navy Sheen",0
"MAC-10 | Sienna Damask",0
"SSG 08 | Prey",0
"Dual Berettas | Drift Wood",1
"FAMAS | CaliCamo",1
"CZ75-Auto | Midnight Palm",1
"P90 | Verdant Growth",1
"USP-S | Purple DDPAT",2
"MP9 | Music Box",2
"M249 | Humidor",2
"SG 553 | Desert Blossom",2
"XM1014 | Elegant Vines",3
"Glock-18 | Pink DDPAT",3
"AUG | Sand Storm",3
"MP5-SD | Oxide Oasis",4
"Desert Eagle | Fennec Fox",4
"AWP | Desert Hydra",5
