"name","rarity"
"This item commemorates the 2021 PGL Stockholm CS:GO Championship.",6
"It was dropped during the Quarterfinal match between Natus Vincere and Vitality.",6
"R8 Revolver | Desert Brush",0
"P90 | Desert DDPAT",0
"SG 553 | Bleached",0
"MP7 | Prey",0
"Sawed-Off | Parched",0
"AUG | Spalted Wood",1
"MP9 | Old Roots",1
"Five-SeveN | Withered Vine",1
"M249 | Midnight Palm",1
"P250 | Black & Tan",2
"Nova | Quick Sand",2
"G3SG1 | New Roots",2
"Galil AR | Amber Fade",2
"USP-S | Orange Anolis",3
"M4A4 | Red DDPAT",3
"MAC-10 | Case Hardened",3
"UMP-45 | Fade",4
"SSG 08 | Death Strike",4
"AK-47 | Gold Arabesque",5
