"name","rarity"
"This item commemorates the 2021 PGL Stockholm CS:GO Championship.",6
"NiKo (Nikola Kovač)",0
"nexa (Nemanja Isakovic)",0
"huNter- (Nemanja Kovac)",0
"JaCkz (Audric Jug)",0
"AmaNEk (Francois Delaunay)",0
"TeSeS (René Stensig Madsen)",0
"stavn (Martin Lund)",0
"sjuush (Rasmus Beck)",0
"refrezh (Ismail Ali)",0
"cadiaN (Casper Møller)",0
"nafany (Vladislav Gorshkov)",0
"Ax1Le (Sergei Rykhtorov)",0
"interz (Iakushin Timofei)",0
"sh1ro (Dmitrii Sokolov)",0
"Hobbit (Abay Khassenov)",0
"drop (André Wagner de Abreu)",0
"KSCERATO (Kaike Cerato)",0
"VINI (Vinicius Figueiredo)",0
"arT (Andrei Piovezan)",0
"yuurih (Yuri Boian)",0
"qikert (Alexey Golubev)",0
"buster (Timur Tulepov)",0
"YEKINDAR (Mareks Galinskis)",0
"Jame (Ali Dzhami)",0
"FL1T (Evgenii Lebedev)",0
"hampus (Hampus Poser)",0
"LNZ (Linus Holtäng)",0
"REZ (Fredrik Sterner)",0
"Plopski (Nicolas Gonzalez Zamora)",0
"device (Nicolai Reedtz)",0
"ZywOo (Mathieu Herbaut)",0
"misutaaa (Kévin Rabier)",0
"Kyojin (Nguyen Van Jayson)",0
"shox (Richard Papillon)",0
"apEX (Dan Madesclaire)",0
