"input_name","market_hash_name","type"
"黑狼 | 军刀","Blackwolf | Sabre","非凡 探员"
"黑桃 A 胸章","Aces High Pin","奇异 收藏品"
"黑山基地胸章","Black Mesa Pin","高级 收藏品"
"鲍伊猎刀（★） | 黑色层压板 (破损不堪)","★ Bowie Knife | Black Laminate (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 黑色层压板 (略有磨损)","★ Bowie Knife | Black Laminate (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 黑色层压板 (战痕累累)","★ Bowie Knife | Black Laminate (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 黑色层压板 (崭新出厂)","★ Bowie Knife | Black Laminate (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 黑色层压板 (久经沙场)","★ Bowie Knife | Black Laminate (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 都市伪装 (破损不堪)","★ Bowie Knife | Urban Masked (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 都市伪装 (略有磨损)","★ Bowie Knife | Urban Masked (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 都市伪装 (战痕累累)","★ Bowie Knife | Urban Masked (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 都市伪装 (崭新出厂)","★ Bowie Knife | Urban Masked (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 都市伪装 (久经沙场)","★ Bowie Knife | Urban Masked (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 表面淬火 (破损不堪)","★ Bowie Knife | Case Hardened (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 表面淬火 (略有磨损)","★ Bowie Knife | Case Hardened (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 表面淬火 (战痕累累)","★ Bowie Knife | Case Hardened (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 表面淬火 (久经沙场)","★ Bowie Knife | Case Hardened (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 虎牙 (略有磨损)","★ Bowie Knife | Tiger Tooth (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 虎牙 (崭新出厂)","★ Bowie Knife | Tiger Tooth (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 蓝钢 (破损不堪)","★ Bowie Knife | Blue Steel (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 蓝钢 (略有磨损)","★ Bowie Knife | Blue Steel (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 蓝钢 (战痕累累)","★ Bowie Knife | Blue Steel (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 蓝钢 (崭新出厂)","★ Bowie Knife | Blue Steel (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 蓝钢 (久经沙场)","★ Bowie Knife | Blue Steel (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 致命紫罗兰 (破损不堪)","★ Bowie Knife | Ultraviolet (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 致命紫罗兰 (略有磨损)","★ Bowie Knife | Ultraviolet (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 致命紫罗兰 (战痕累累)","★ Bowie Knife | Ultraviolet (Battle-Scarred)","★ 隐秘 匕首"
