"input_name","market_hash_name","type"
"魔性探员胶囊","Poorly Drawn Capsule","普通级 武器箱"
"阿努比斯收藏包","Anubis Collection Package","普通级 武器箱"
"间谍印花胶囊","Espionage Sticker Capsule","普通级 武器箱"
"裂空武器箱","Fracture Case","普通级 武器箱"
"蛇噬武器箱","Snakebite Case","普通级 武器箱"
"系列 3 收藏胸章胶囊","Collectible Pins Capsule Series 3","普通级 武器箱"
"系列 2 收藏胸章胶囊","Collectible Pins Capsule Series 2","普通级 武器箱"
"系列 1 收藏胸章胶囊","Collectible Pins Capsule Series 1","普通级 武器箱"
"糖果脸谱胶囊","Sugarface Capsule","普通级 武器箱"
"社区涂鸦箱 1","Community Graffiti Box 1","普通级 武器箱"
"画廊武器箱","Gallery Case","普通级 武器箱"
"电竞 2014 夏季武器箱","eSports 2014 Summer Case","普通级 武器箱"
"电竞 2013 武器箱","eSports 2013 Case","普通级 武器箱"
"电竞 2013 冬季武器箱","eSports 2013 Winter Case","普通级 武器箱"
"猛兽胶囊","Feral Predators Capsule","普通级 武器箱"
"猎杀者武器箱","Huntsman Weapon Case","普通级 武器箱"
"热潮武器箱","Fever Case","普通级 武器箱"
"点亮中国涂鸦箱","Perfect World Graffiti Box","普通级 武器箱"
"点亮中国 2 号印花胶囊","Perfect World Sticker Capsule 2","普通级 武器箱"
"点亮中国 1 号印花胶囊","Perfect World Sticker Capsule 1","普通级 武器箱"
"海报女郎胶囊","Pinups Capsule","普通级 武器箱"
"段位印花胶囊","Skill Groups Capsule","普通级 武器箱"
"棱彩武器箱","Prisma Case","普通级 武器箱"
"棱彩2号武器箱","Prisma 2 Case","普通级 武器箱"
"梦魇武器箱","Dreams & Nightmares Case","普通级 武器箱"
"暴雨音乐盒集","Deluge Music Kit Box","普通级 武器箱"
"暗影武器箱","Shadow Case","普通级 武器箱"
"手套武器箱","Glove Case","普通级 武器箱"
"战锤40K混沌星际战士印花胶囊","Warhammer 40,000 Traitor Astartes Sticker Capsule","普通级 武器箱"
"战锤40K星际战士印花胶囊","Warhammer 40,000 Adeptus Astartes Sticker Capsule","普通级 武器箱"
"战锤40K异形印花胶囊","Warhammer 40,000 Xenos Sticker Capsule","普通级 武器箱"
"战锤40k印花胶囊","Warhammer 40,000 Sticker Capsule","普通级 武器箱"
"战锤40K人类帝国印花胶囊","Warhammer 40,000 Imperium Sticker Capsule","普通级 武器箱"
"战术大师音乐盒集","Tacticians Music Kit Box","普通级 武器箱"
"战地风云 2042 印花胶囊","Battlefield 2042 Sticker Capsule","普通级 武器箱"
"弯曲猎手武器箱","Falchion Case","普通级 武器箱"
"引爆器音乐盒集","Initiators Music Kit Box","普通级 武器箱"
"幻彩武器箱","Chroma Case","普通级 武器箱"
"幻彩 3 号武器箱","Chroma 3 Case","普通级 武器箱"
"幻彩 2 号武器箱","Chroma 2 Case","普通级 武器箱"
"左轮武器箱","Revolver Case","普通级 武器箱"
"小鸡胶囊","Chicken Capsule","普通级 武器箱"
"夜间模式音乐盒集","NIGHTMODE Music Kit Box","普通级 武器箱"
"地平线武器箱","Horizon Case","普通级 武器箱"
"团队定位胶囊","Team Roles Capsule","普通级 武器箱"
"命悬一线武器箱","Clutch Case","普通级 武器箱"
"变革武器箱","Revolution Case","普通级 武器箱"
"反恐精英涂鸦箱","CS:GO Graffiti Box","普通级 武器箱"
"反恐精英武器箱","CS:GO Weapon Case","普通级 武器箱"
"反恐精英布章包","CS:GO Patch Pack","普通级 武器箱"
"反恐精英20周年武器箱","CS20 Case","普通级 武器箱"
"反恐精英20周年印花胶囊","CS20 Sticker Capsule","普通级 武器箱"
"反恐精英 3 号武器箱","CS:GO Weapon Case 3","普通级 武器箱"
"反恐精英 2 号武器箱","CS:GO Weapon Case 2","普通级 武器箱"
"反冲武器箱","Recoil Case","普通级 武器箱"
"卡托维兹 2019 荒漠迷城纪念包","Katowice 2019 Mirage Souvenir Package","普通级 武器箱"
"卡托维兹 2019 炼狱小镇纪念包","Katowice 2019 Inferno Souvenir Package","普通级 武器箱"
"卡托维兹 2019 炙热沙城 II 纪念包","Katowice 2019 Dust II Souvenir Package","普通级 武器箱"
"卡托维兹 2019 死城之谜纪念包","Katowice 2019 Cache Souvenir Package","普通级 武器箱"
"卡托维兹 2019 死亡游乐园纪念包","Katowice 2019 Overpass Souvenir Package","普通级 武器箱"
"卡托维兹 2019 核子危机纪念包","Katowice 2019 Nuke Souvenir Package","普通级 武器箱"
"卡托维兹 2019 列车停放站纪念包","Katowice 2019 Train Souvenir Package","普通级 武器箱"
"千瓦武器箱","Kilowatt Case","普通级 武器箱"
"动物寓言胶囊","Bestiary Capsule","普通级 武器箱"
"决策大师音乐盒集","Masterminds Music Kit Box","普通级 武器箱"
"决策大师2号音乐盒集","Masterminds 2 Music Kit Box","普通级 武器箱"
"冬季攻势武器箱","Winter Offensive Weapon Case","普通级 武器箱"
"光谱武器箱","Spectrum Case","普通级 武器箱"
"光谱 2 号武器箱","Spectrum 2 Case","普通级 武器箱"
"光环胶囊","Halo Capsule","普通级 武器箱"
"作战室印花胶囊","The Boardroom Sticker Capsule","普通级 武器箱"
"伽玛武器箱","Gamma Case","普通级 武器箱"
"伽玛 2 号武器箱","Gamma 2 Case","普通级 武器箱"
