"input_name","market_hash_name","type"
"魔性探员胶囊","Poorly Drawn Capsule","普通级 武器箱"
"阿努比斯收藏包","Anubis Collection Package","普通级 武器箱"
"间谍印花胶囊","Espionage Sticker Capsule","普通级 武器箱"
"裂空武器箱","Fracture Case","普通级 武器箱"
"蛇噬武器箱","Snakebite Case","普通级 武器箱"
"系列 3 收藏胸章胶囊","Collectible Pins Capsule Series 3","普通级 武器箱"
"系列 2 收藏胸章胶囊","Collectible Pins Capsule Series 2","普通级 武器箱"
"系列 1 收藏胸章胶囊","Collectible Pins Capsule Series 1","普通级 武器箱"
"糖果脸谱胶囊","Sugarface Capsule","普通级 武器箱"
"社区涂鸦箱 1","Community Graffiti Box 1","普通级 武器箱"
"画廊武器箱","Gallery Case","普通级 武器箱"
"电竞 2014 夏季武器箱","eSports 2014 Summer Case","普通级 武器箱"
"电竞 2013 武器箱","eSports 2013 Case","普通级 武器箱"
"电竞 2013 冬季武器箱","eSports 2013 Winter Case","普通级 武器箱"
"猛兽胶囊","Feral Predators Capsule","普通级 武器箱"
"猎杀者武器箱","Huntsman Weapon Case","普通级 武器箱"
"热潮武器箱","Fever Case","普通级 武器箱"
"点亮中国涂鸦箱","Perfect World Graffiti Box","普通级 武器箱"
"点亮中国 2 号印花胶囊","Perfect World Sticker Capsule 2","普通级 武器箱"
"点亮中国 1 号印花胶囊","Perfect World Sticker Capsule 1","普通级 武器箱"
